id,first_name,last_name,email,phone,job_title,department_id,is_active,email_verified,created_at,last_login_at
9f494bc5-731f-4f38-a367-32640bd2b56d,Ahmed,Rahmani,ahmedrahmani@capgemini.com,+21654598332,Responsable RH,2.0,True,True,2026-03-28 00:06:54.456921+00:00,
8d96e8da-9993-495a-a0c2-848796ac710e,Sami,Gharbi,sami@capgemini.com,,Développeur back-end,1.0,True,True,2026-03-14 00:23:15.791212+00:00,
d6fe6795-80b6-44d5-81a2-ba29873a9947,Youssef,Trabelsi,youssef@capgemini.com,,Développeur full-stack,1.0,True,True,2026-03-14 00:27:30.109867+00:00,
9d09832f-ff19-4c77-9c05-12881b06c117,Fraj,Ben Othmen,frajbenothmen@capgemini.com,+21654598338,Collaborateur,2.0,True,True,2026-03-13 19:14:31.855859+00:00,
ada33a22-047d-41f7-9001-c78a46d52ecc,Fatma,Ben Ali,fatma@capgemini.com,+21695847523,Collaborateur,2.0,True,True,2026-03-13 19:10:46.549100+00:00,
49df03d0-fa40-4cdf-b3df-abf37a14050b,Mounir,Ali,mounirali@capgemini.com,+21653568471,Collaborateur,3.0,True,True,2026-03-13 19:07:44.484673+00:00,
694b0956-4e4d-45ad-893c-29800a2bcfd9,Abdelhamid,Ben Mohamed,abdelhamidbenmohamed@capgemini.com,+21655364789,Ingénieur logiciel,1.0,True,True,2026-03-14 00:12:35.260931+00:00,
33730d91-9a14-4721-aec1-1f1aaa89bb40,Wissem,Bagga,wissem.bagga@capgemini.com,+21694837763,Responsable RH,2,True,True,2026-03-13 19:03:07.813805+00:00,
c96c33b2-deb4-4624-905a-4bb4eba9b66b,Foued,Bagga,foued.bagga@capgemini.com,+21694847763,Collaborateur,1.0,True,True,2026-03-23 13:17:59.063516+00:00,
aa4e1ebb-5f2c-431e-b14c-49099924347c,Soufien,Najjar,soufien@capgemini.com,+21695213598,Collaborateur,1.0,True,True,2026-03-13 19:13:03.897326+00:00,
d5d7156b-757a-4b4f-9950-c3a38b7b858d,Zied,Bagga,zied.bagga@capgemini.com,+21694847763,Collaborateur,1.0,True,True,2026-03-24 15:19:47.914950+00:00,
8c8251fd-fa99-4fc2-b3f4-b974d8961ad6,Ali,Ben saleh,ali@capgemini.com,+21654826843,Developpeur Fullstack,3.0,True,True,2026-04-01 09:35:33.440218+00:00,
d87f398c-41bc-4a59-b46a-8033c209243f,Ahmed,Ben Ahmed,ahmedbenahmed@capgemini.com,+21697847763,Manager Dept IT,3.0,True,True,2026-03-13 19:05:36.494766+00:00,
16f1ef83-2744-47e3-a8fa-a79542e39c6e,Ines,Charfi,ines@capgemini.com,+21694837763,Comptable,3.0,True,True,2026-03-29 00:00:38.930116+00:00,
c79bf178-2ad7-46c5-a8bc-69d76f5a35b2,Hichem,Mansouri,hichem@capgemini.com,,Technicien support,9,False,False,2026-03-14 00:13:24.353950+00:00,
2a2ff3aa-a839-4038-a81c-29bf4839823e,Aya,Ben Amor,aya@capgemini.com,+21636015050,Analyste financier,3.0,True,True,2026-04-21 19:53:46.988416+00:00,
e94c386e-8464-4a22-be9a-6beb0e5d7a7b,Abdelhamid,Dridi,abdlahmiddridi@capgemini.com,+2164837763,Développeur logiciel,1.0,True,True,2026-03-18 23:54:11.687383+00:00,
d420025c-f809-4d32-9066-98749e88aeb9,Abdelhamid,Dhaoui,abdelhamiddhaoui@capgemini.com,+2164837763,Analyste financier,3.0,True,True,2026-03-19 00:00:59.894348+00:00,
d2143c02-7643-4dad-9edd-73d7e485eec7,Rania,Triki,rania@capgemini.com,+21658543123,Assistante RH,1.0,True,True,2026-04-21 22:41:35.333424+00:00,
7c67d46c-3aec-42ba-86ea-e64be34be51d,Karim,Soudani,karim@capgemini.com,+21620647916,Software engineering,1.0,True,True,2026-04-25 14:17:59.506562+00:00,
514d1d62-3100-4b79-9ace-199ed15abd30,Ahmed,Trabelsi,ahmedtrabelsi@capgemini.com,+21654598331,Ingénieur IT,1.0,True,True,2026-03-27 23:30:00.719450+00:00,
04d1e3f4-5420-4b71-a3a5-85f2ed790744,Omar,Ben Saleh,omar@capgemini.com,+2165632568,Collaborateur,3.0,True,True,2026-03-13 19:09:23.145237+00:00,
c03e864e-d2ed-4ce5-856b-2334fbcb17c0,Mounir,Hajj kacem,mounirhajjkacem@capgemini.com,+21694847763,Manager technique,4.0,True,True,2026-04-21 13:17:58.455354+00:00,
3c0142b7-95e6-4f7f-b870-c04bcbdf37c3,Nour,Jlassi,nourjlassi@capgemini.com,+21694837763,Chargée administrative,2.0,True,True,2026-04-06 15:41:54.895022+00:00,
ae62feb9-2fe5-4f14-9abc-6d3de60551e9,Mariem,Khelifi,mariem@capgemini.com,,Analyste métier,1,True,True,2026-03-14 00:32:26.312266+00:00,
05ebad91-5c0a-406d-b835-141c19b231e0,Fares,Naoui,fares@capgemini.com,+21695847763,Développeur,2.0,True,True,2026-03-27 11:15:57.459669+00:00,
